Date,TempAvgºF,TempMinºF,TempMaxºF,RainTotal,WindSpeed,Pressure,Raining
2000-01-01,50.0,33.08,66.92,0.0,2.9204437000000003,30.247578999999998,False
2000-01-02,57.02,42.980000000000004,69.98,0.0,7.5807262,30.223955,False
2000-01-03,64.94,55.04,73.94,0.0,10.314758600000001,30.15013,False
2000-01-04,62.059999999999995,51.08,73.04,0.33858286,15.9070976,29.88436,True
2000-01-05,39.02,26.96,51.08,0.0,5.840887400000001,30.247578999999998,False
2000-01-06,37.94,24.98,51.08,0.0,2.9204437000000003,30.480866000000002,False
2000-01-07,44.96,30.92,57.92,0.0787402,3.106855,30.330263,True
2000-01-08,39.92,26.060000000000002,53.96,0.01968505,2.485484,30.347981,True
2000-01-09,46.94,41.0,51.98,0.48031521999999993,3.3554034,30.105835,True
2000-01-10,55.94,46.04,66.02,1.03149662,11.6196377,29.775099,True
2000-01-11,57.02,42.980000000000004,69.98,0.0,12.5516942,29.905031,False
2000-01-12,46.04,30.92,60.980000000000004,0.0,4.0389115,30.200331000000002,False
2000-01-13,53.96,37.94,69.98,0.0,13.1730652,30.008386,False
2000-01-14,30.92,24.08,37.94,0.0,6.4622584000000005,30.575362000000002,False
2000-01-15,32.0,19.04,44.06,0.0,5.3437906,30.646234,False
2000-01-16,50.0,37.04,62.959999999999994,0.0,12.054597399999999,30.265297000000004,False
2000-01-17,39.92,28.94,51.08,0.0,8.077823,30.365699,False
2000-01-18,26.96,21.92,30.92,0.18897647999999997,3.106855,30.144223999999998,True
2000-01-19,32.0,24.08,39.92,0.0,3.7903631,30.014292,False
2000-01-20,37.04,28.94,44.96,0.25984265999999995,10.0662102,29.686509,True
2000-01-21,28.04,21.02,33.98,0.0,7.1457665,30.029057,False
2000-01-22,24.98,17.06,33.08,0.011811029999999998,2.6718953,30.232813999999998,True
2000-01-23,30.02,26.96,32.0,0.33858286,5.3437906,30.091070000000002,True
2000-01-24,33.08,28.94,35.96,0.33858286,10.749718300000001,29.910937,True
2000-01-25,30.02,23.0,35.96,2.03149716,10.314758600000001,29.568389,True
2000-01-26,23.0,12.920000000000002,33.08,0.0,5.592339,29.899125,False
2000-01-27,21.02,10.04,30.92,0.0,4.9088309,30.280062000000004,False
2000-01-28,19.939999999999998,1.0400000000000027,39.02,0.0,0.8699194,30.539926,False
2000-01-29,21.92,6.979999999999997,35.96,0.05905515,4.7224196,30.548785000000002,True
2000-01-30,30.92,30.02,32.0,1.09055177,5.3437906,30.232813999999998,True
2000-01-31,28.94,23.0,33.98,0.0,6.027298699999999,30.070399,False
2000-02-01,30.02,19.04,39.92,0.0,6.2758471,30.108788,False
2000-02-02,30.92,19.939999999999998,41.0,0.0,4.0389115,30.268250000000002,False
2000-02-03,35.96,21.92,48.92,0.0,9.6312505,30.008386,False
2000-02-04,39.92,28.94,51.08,0.0,3.7903631,29.887313000000002,False
2000-02-05,35.06,24.08,46.04,0.0,5.1573793000000006,30.188519,False
2000-02-06,37.94,26.060000000000002,50.0,0.0,3.3554034,30.365699,False
2000-02-07,46.04,32.0,59.0,0.0,5.1573793000000006,30.232813999999998,False
2000-02-08,39.02,28.94,48.02,0.0,7.1457665,30.395229,False
2000-02-09,42.08,28.04,55.04,0.0,1.9883872,30.23872,False
2000-02-10,44.96,26.060000000000002,64.04,0.0,2.6718953,30.002480000000002,False
2000-02-11,60.08,48.02,71.96,0.0,7.5807262,29.881407,False
2000-02-12,42.980000000000004,32.0,53.06,0.72834685,9.8176618,30.147177,True
2000-02-13,37.04,30.92,42.08,0.011811029999999998,3.7903631,30.176707,True
2000-02-14,53.96,41.0,66.02,0.27165369,10.0662102,29.792817,True
2000-02-15,44.96,35.96,53.96,0.0,4.2253228,30.164895,False
2000-02-16,53.96,39.02,68.0,0.0,9.8176618,30.141271000000003,False
2000-02-17,46.94,39.02,53.96,0.0,9.3827021,30.4159,False
