time,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,rain
2000-01-01,10.0,0.6,19.4,0.0,0.0,,4.7,,1024.3,,0
2000-01-02,13.9,6.1,21.1,0.0,0.0,,12.2,,1023.5,,0
2000-01-03,18.3,12.8,23.3,0.0,0.0,208.0,16.6,,1021.0,,0
2000-01-04,16.7,10.6,22.8,8.6,0.0,218.0,25.6,,1012.0,,1
2000-01-05,3.9,-2.8,10.6,0.0,0.0,,9.4,,1024.3,,0
2000-01-06,3.3,-3.9,10.6,0.0,0.0,,4.7,,1032.2,,0
2000-01-07,7.2,-0.6,14.4,2.0,0.0,,5.0,,1027.1,,1
2000-01-08,4.4,-3.3,12.2,0.5,0.0,,4.0,,1027.7,,1
2000-01-09,8.3,5.0,11.1,12.2,0.0,,5.4,,1019.5,,1
2000-01-10,13.3,7.8,18.9,26.2,0.0,219.0,18.7,,1008.3,,1
2000-01-11,13.9,6.1,21.1,0.0,0.0,248.0,20.2,,1012.7,,0
2000-01-12,7.8,-0.6,16.1,0.0,0.0,,6.5,,1022.7,,0
2000-01-13,12.2,3.3,21.1,0.0,0.0,254.0,21.2,,1016.2,,0
2000-01-14,-0.6,-4.4,3.3,0.0,0.0,,10.4,,1035.4,,0
2000-01-15,0.0,-7.2,6.7,0.0,0.0,,8.6,,1037.8,,0
2000-01-16,10.0,2.8,17.2,0.0,0.0,249.0,19.4,,1024.9,,0
2000-01-17,4.4,-1.7,10.6,0.0,0.0,,13.0,,1028.3,,0
2000-01-18,-2.8,-5.6,-0.6,4.8,25.0,,5.0,,1020.8,,1
2000-01-19,0.0,-4.4,4.4,0.0,51.0,,6.1,,1016.4,,0
2000-01-20,2.8,-1.7,7.2,6.6,51.0,281.0,16.2,,1005.3,,1
2000-01-21,-2.2,-6.1,1.1,0.0,0.0,,11.5,,1016.9,,0
2000-01-22,-3.9,-8.3,0.6,0.3,0.0,,4.3,,1023.8,,1
2000-01-23,-1.1,-2.8,0.0,8.6,0.0,58.0,8.6,,1019.0,,1
2000-01-24,0.6,-1.7,2.2,8.6,51.0,24.0,17.3,,1012.9,,1
2000-01-25,-1.1,-5.0,2.2,51.6,432.0,314.0,16.6,,1001.3,,1
2000-01-26,-5.0,-10.6,0.6,0.0,508.0,,9.0,,1012.5,,0
2000-01-27,-6.1,-12.2,-0.6,0.0,305.0,,7.9,,1025.4,,0
2000-01-28,-6.7,-17.2,3.9,0.0,254.0,,1.4,,1034.2,,0
2000-01-29,-5.6,-13.9,2.2,1.5,203.0,,7.6,,1034.5,,1
2000-01-30,-0.6,-1.1,0.0,27.7,178.0,,8.6,,1023.8,,1
2000-01-31,-1.7,-5.0,1.1,0.0,178.0,267.0,9.7,,1018.3,,0
2000-02-01,-1.1,-7.2,4.4,0.0,152.0,,10.1,,1019.6,,0
2000-02-02,-0.6,-6.7,5.0,0.0,102.0,,6.5,,1025.0,,0
2000-02-03,2.2,-5.6,9.4,0.0,51.0,,15.5,,1016.2,,0
2000-02-04,4.4,-1.7,10.6,0.0,51.0,,6.1,,1012.1,,0
2000-02-05,1.7,-4.4,7.8,0.0,25.0,,8.3,,1022.3,,0
2000-02-06,3.3,-3.3,10.0,0.0,0.0,,5.4,,1028.3,,0
2000-02-07,7.8,0.0,15.0,0.0,0.0,,8.3,,1023.8,,0
2000-02-08,3.9,-1.7,8.9,0.0,0.0,,11.5,,1029.3,,0
2000-02-09,5.6,-2.2,12.8,0.0,0.0,,3.2,,1024.0,,0
2000-02-10,7.2,-3.3,17.8,0.0,0.0,,4.3,,1016.0,,0
2000-02-11,15.6,8.9,22.2,0.0,0.0,,12.2,,1011.9,,0
2000-02-12,6.1,0.0,11.7,18.5,0.0,43.0,15.8,,1020.9,,1
2000-02-13,2.8,-0.6,5.6,0.3,0.0,,6.1,,1021.9,,1
2000-02-14,12.2,5.0,18.9,6.9,0.0,248.0,16.2,,1008.9,,1
2000-02-15,7.2,2.2,12.2,0.0,0.0,,6.8,,1021.5,,0
2000-02-16,12.2,3.9,20.0,0.0,0.0,,15.8,,1020.7,,0
2000-02-17,8.3,3.9,12.2,0.0,0.0,57.0,15.1,,1030.0,,0
2000-02-18,5.0,0.0,9.4,11.7,0.0,,13.0,,1025.1,,1
2000-02-19,12.8,5.6,20.0,0.3,0.0,267.0,16.6,,1015.4,,1
2000-02-20,5.6,-0.6,11.1,0.0,0.0,,6.5,,1025.9,,0
2000-02-21,3.9,-2.8,10.6,0.0,0.0,,4.0,,1031.5,,0
2000-02-22,5.6,-2.8,13.9,0.0,0.0,,3.2,,1033.3,,0
2000-02-23,8.9,-1.1,18.9,0.0,0.0,,4.7,,1032.3,,0
2000-02-24,13.3,5.0,21.7,0.0,0.0,,10.1,,1028.2,,0
2000-02-25,17.8,10.0,25.6,0.0,0.0,221.0,10.8,,1025.0,,0
2000-02-26,17.2,10.0,24.4,0.0,0.0,,10.4,,1026.1,,0
2000-02-27,17.2,11.7,22.2,17.8,0.0,,13.3,,1022.1,,1
2000-02-28,12.2,6.7,17.2,0.5,0.0,,9.7,,1021.9,,1
2000-02-29,8.9,-1.1,18.3,0.0,0.0,,1.8,,1025.0,,0
2000-03-01,12.8,2.8,22.8,0.0,0.0,,12.2,,1016.9,,0
2000-03-02,12.2,7.2,16.7,0.0,0.0,,10.1,,1012.9,,0
2000-03-03,8.3,0.6,16.1,0.0,0.0,,5.0,,1015.1,,0
2000-03-04,6.7,1.1,11.7,0.0,0.0,,5.0,,1010.9,,0
2000-03-05,10.0,-1.1,20.6,0.0,0.0,,5.4,,1014.3,,0
2000-03-06,12.2,2.2,21.7,0.0,0.0,,4.0,,1020.7,,0
2000-03-07,15.0,6.7,23.3,0.0,0.0,,9.7,,1024.0,,0
2000-03-08,18.9,8.9,28.9,0.0,0.0,,11.9,,1018.1,,0
2000-03-09,19.4,12.2,26.7,0.0,0.0,228.0,19.8,,1013.1,,0
2000-03-10,18.9,11.1,26.7,0.0,0.0,,7.9,,1015.8,,0
2000-03-11,21.1,14.4,27.2,3.0,0.0,211.0,22.0,,1012.3,,1
2000-03-12,8.9,2.2,15.6,0.0,0.0,297.0,18.0,,1012.3,,0
2000-03-13,5.0,-2.2,11.7,0.0,0.0,,6.1,,1026.8,,0
2000-03-14,7.8,-2.2,17.2,0.0,0.0,,4.0,,1026.7,,0
2000-03-15,12.2,3.3,21.1,0.0,0.0,,5.8,,1025.4,,0
2000-03-16,13.9,8.3,19.4,10.2,0.0,,11.5,,1018.3,,1
2000-03-17,12.2,5.0,19.4,0.3,0.0,305.0,18.4,,1015.4,,1
2000-03-18,3.9,-1.1,8.9,0.0,0.0,66.0,15.5,,1032.2,,0
2000-03-19,7.8,0.0,15.0,0.0,0.0,69.0,14.8,,1027.8,,0
2000-03-20,10.0,8.3,11.7,17.3,0.0,84.0,21.2,,1019.7,,1
2000-03-21,9.4,6.7,11.7,0.3,0.0,,12.6,,1021.9,,1
2000-03-22,8.9,5.0,12.8,0.0,0.0,,15.1,,1024.6,,0
2000-03-23,12.2,7.2,17.2,0.0,0.0,36.0,14.0,,1025.7,,0
2000-03-24,12.2,2.8,21.1,0.0,0.0,,3.6,,1022.5,,0
2000-03-25,16.7,8.3,25.0,1.5,0.0,222.0,15.8,,1017.0,,1
2000-03-26,15.0,7.2,22.8,0.0,0.0,,9.0,,1010.8,,0
2000-03-27,12.2,4.4,20.0,11.2,0.0,,10.4,,1001.1,,1
2000-03-28,13.3,5.6,21.1,0.0,0.0,,15.5,,997.2,,0
2000-03-29,11.1,5.0,16.7,0.0,0.0,,10.4,,1011.5,,0
2000-03-30,10.6,7.2,13.9,1.0,0.0,,5.4,,1014.2,,1
2000-03-31,11.7,4.4,18.9,0.0,0.0,,7.9,,1018.6,,0
2000-04-01,12.8,3.9,21.1,0.0,0.0,,10.1,,1024.1,,0
2000-04-02,16.1,11.1,21.1,0.3,0.0,206.0,13.7,,1021.0,,1
2000-04-03,22.2,16.7,27.2,1.3,0.0,206.0,22.3,,1014.4,,1
2000-04-04,13.3,6.7,20.0,1.3,0.0,244.0,24.1,,1006.3,,1
2000-04-05,7.8,0.0,15.6,0.0,0.0,,13.0,,1016.2,,0
2000-04-06,16.1,6.1,26.1,0.0,0.0,229.0,20.9,,1013.0,,0
2000-04-07,20.0,11.7,28.3,0.0,0.0,219.0,16.6,,1013.8,,0
2000-04-08,15.0,6.1,23.9,16.8,0.0,228.0,24.5,,1007.5,,1
2000-04-09,9.4,3.3,15.6,0.0,0.0,275.0,18.4,,1017.0,,0
2000-04-10,13.3,3.3,22.8,0.0,0.0,228.0,12.2,,1022.9,,0
2000-04-11,18.3,12.2,24.4,0.0,0.0,216.0,22.0,,1023.2,,0
2000-04-12,17.8,11.7,23.9,0.0,0.0,,15.1,,1022.3,,0
2000-04-13,8.3,4.4,11.7,9.7,0.0,42.0,16.6,,1029.8,,1
2000-04-14,8.9,5.0,12.8,4.1,0.0,31.0,14.0,,1025.2,,1
2000-04-15,15.0,12.2,17.8,8.9,0.0,,7.9,,1018.0,,1
2000-04-16,20.0,15.0,25.0,0.3,0.0,,6.5,,1016.2,,1
2000-04-17,20.0,13.3,26.7,14.5,0.0,,10.1,,1011.1,,1
2000-04-18,11.1,7.8,13.9,2.0,0.0,12.0,16.6,,1009.2,,1
2000-04-19,15.0,7.8,21.7,0.0,0.0,,13.0,,1015.3,,0
2000-04-20,16.1,8.3,23.3,0.0,0.0,,13.0,,1016.7,,0
2000-04-21,20.0,13.3,26.1,0.0,0.0,230.0,20.9,,1004.6,,0
2000-04-22,12.2,7.2,16.7,0.0,0.0,,10.1,,1005.3,,0
2000-04-23,12.8,4.4,21.1,0.0,0.0,,6.1,,1009.7,,0
2000-04-24,13.3,6.7,20.0,1.8,0.0,,10.4,,1011.3,,1
2000-04-25,11.1,8.3,13.3,6.6,0.0,43.0,16.6,,1006.9,,1
2000-04-26,9.4,2.8,16.1,3.8,0.0,,5.4,,1015.9,,1
2000-04-27,13.9,9.4,18.3,9.1,0.0,137.0,9.7,,1014.9,,1
2000-04-28,11.7,10.0,13.3,13.2,0.0,,11.2,,1010.6,,1
2000-04-29,13.9,6.1,21.1,24.9,0.0,,5.4,,1014.9,,1
2000-04-30,15.0,5.6,23.9,0.0,0.0,,4.3,,1020.1,,0
2000-05-01,17.8,8.3,26.7,0.0,0.0,,18.0,,1019.2,,0
2000-05-02,20.0,15.0,25.0,0.0,0.0,,13.0,,1016.5,,0
2000-05-03,18.3,11.7,25.0,0.0,0.0,,11.9,,1023.4,,0
2000-05-04,17.8,8.9,26.7,0.0,0.0,,7.6,,1025.3,,0
2000-05-05,19.4,10.6,27.8,0.0,0.0,,7.6,,1023.9,,0
2000-05-06,21.7,12.8,30.6,0.0,0.0,,6.5,,1020.9,,0
2000-05-07,22.8,15.0,30.6,0.0,0.0,,10.4,,1018.4,,0
2000-05-08,23.3,16.1,30.6,0.0,0.0,229.0,16.9,,1015.8,,0
2000-05-09,23.9,17.2,30.0,0.0,0.0,226.0,19.8,,1012.6,,0
2000-05-10,25.0,18.9,30.6,0.0,0.0,232.0,20.5,,1009.3,,0
2000-05-11,18.9,8.9,28.3,0.0,0.0,,4.7,,1014.6,,0
2000-05-12,24.4,15.6,32.8,0.0,0.0,230.0,14.0,,1011.9,,0
2000-05-13,26.1,18.3,33.9,0.0,0.0,,11.9,,1008.9,,0
2000-05-14,21.1,13.9,27.8,0.0,0.0,,6.5,,1015.8,,0
2000-05-15,16.1,8.9,22.8,0.0,0.0,,9.0,,1020.5,,0
2000-05-16,16.7,7.2,25.6,0.0,0.0,,6.1,,1021.4,,0
2000-05-17,21.1,14.4,27.2,0.0,0.0,214.0,15.1,,1020.4,,0
2000-05-18,24.4,18.3,30.6,0.0,0.0,215.0,25.2,,1020.9,,0
2000-05-19,26.1,18.9,33.3,0.0,0.0,,14.4,,1016.8,,0
2000-05-20,26.7,19.4,33.9,0.0,0.0,,8.6,,1014.3,,0
2000-05-21,21.1,18.3,23.9,10.7,0.0,65.0,9.7,,1014.8,,1
2000-05-22,22.2,15.6,28.3,15.0,0.0,,9.4,,1010.0,,1
2000-05-23,20.0,12.2,27.8,0.0,0.0,,9.4,,1008.9,,0
2000-05-24,25.0,17.8,31.7,0.0,0.0,248.0,13.7,,1004.9,,0
2000-05-25,24.4,20.0,28.3,1.3,0.0,,9.7,,1007.5,,1
2000-05-26,21.1,12.8,28.9,0.0,0.0,,4.7,,1014.4,,0
2000-05-27,22.8,13.3,32.2,0.0,0.0,,9.7,,1013.6,,0
2000-05-28,22.8,16.7,28.3,4.3,0.0,,7.6,,1008.0,,1
2000-05-29,13.9,10.6,16.7,0.0,0.0,18.0,13.7,,1011.4,,0
2000-05-30,14.4,10.0,18.9,0.0,0.0,27.0,15.8,,1020.2,,0
2000-05-31,18.3,10.0,26.7,0.0,0.0,,4.7,,1022.3,,0
2000-06-01,23.3,14.4,32.2,0.0,0.0,,5.0,,1019.9,,0
2000-06-02,27.8,18.3,36.7,0.0,0.0,,5.0,,1017.3,,0
2000-06-03,26.1,19.4,32.2,11.7,0.0,,9.4,,1016.0,,1
2000-06-04,20.6,17.2,23.9,4.1,0.0,,7.6,,1017.5,,1
2000-06-05,20.0,18.3,21.7,1.3,0.0,,8.6,,1014.6,,1
2000-06-06,20.6,15.0,25.6,0.0,0.0,297.0,15.1,,1011.6,,0
2000-06-07,18.3,11.7,24.4,0.0,0.0,,9.0,,1021.6,,0
2000-06-08,19.4,10.0,28.3,0.0,0.0,,10.1,,1023.3,,0
2000-06-09,23.9,14.4,32.8,0.0,0.0,,12.2,,1021.8,,0
2000-06-10,24.4,16.1,32.2,0.0,0.0,212.0,14.0,,1021.8,,0
2000-06-11,25.6,17.2,33.3,0.0,0.0,221.0,12.6,,1021.2,,0
2000-06-12,26.7,19.4,33.3,0.0,0.0,222.0,11.5,,1020.1,,0
2000-06-13,30.0,22.2,37.2,0.0,0.0,,12.2,,1018.2,,0
2000-06-14,27.8,20.0,35.6,3.3,0.0,206.0,10.8,,1018.3,,1
2000-06-15,26.1,20.0,32.2,2.0,0.0,,14.0,,1016.1,,1
2000-06-16,27.2,21.1,32.8,0.3,0.0,195.0,17.3,,1017.1,,1
2000-06-17,28.3,23.3,33.3,0.0,0.0,216.0,18.0,,1019.7,,0
2000-06-18,28.9,23.3,33.9,0.5,0.0,218.0,16.9,,1020.3,,1
2000-06-19,28.3,22.2,33.9,16.0,0.0,,9.7,,1019.8,,1
2000-06-20,22.2,19.4,24.4,0.0,0.0,,7.9,,1021.0,,0
2000-06-21,26.1,21.1,31.1,0.0,0.0,186.0,14.8,,1017.4,,0
2000-06-22,27.2,22.2,31.7,0.0,0.0,,14.8,,1013.3,,0
2000-06-23,25.6,17.8,32.8,0.0,0.0,,6.1,,1015.8,,0
2000-06-24,27.2,20.6,33.9,0.0,0.0,,9.4,,1018.6,,0
2000-06-25,27.8,21.7,33.9,0.0,0.0,201.0,14.0,,1017.7,,0
2000-06-26,28.3,22.2,33.9,0.0,0.0,217.0,18.4,,1017.7,,0
2000-06-27,27.8,21.7,33.3,6.9,0.0,228.0,19.4,,1018.1,,1
2000-06-28,27.2,22.2,31.7,15.7,0.0,,11.9,,1016.3,,1
2000-06-29,22.8,17.8,27.2,1.8,0.0,,9.0,,1011.9,,1
2000-06-30,22.2,16.1,28.3,0.0,0.0,,5.8,,1014.7,,0
2000-07-01,22.8,15.6,29.4,0.0,0.0,,4.7,,1017.2,,0
2000-07-02,23.3,13.9,32.2,0.0,0.0,,6.5,,1019.0,,0
2000-07-03,26.7,20.0,32.8,0.0,0.0,216.0,18.4,,1019.1,,0
2000-07-04,27.8,21.7,33.9,0.0,0.0,241.0,15.1,,1016.4,,0
2000-07-05,27.2,21.1,33.3,3.6,0.0,,7.6,,1012.6,,1
2000-07-06,26.7,21.1,31.7,0.0,0.0,,8.6,,1010.8,,0
2000-07-07,25.0,20.6,28.9,0.0,0.0,,10.8,,1014.6,,0
2000-07-08,25.0,18.9,30.6,0.0,0.0,,8.3,,1021.0,,0
2000-07-09,27.8,21.1,34.4,0.0,0.0,220.0,15.8,,1018.0,,0
2000-07-10,30.0,23.3,36.1,0.0,0.0,239.0,16.6,,1013.6,,0
2000-07-11,28.9,22.2,35.0,0.0,0.0,,9.4,,1011.6,,0
2000-07-12,23.9,20.0,27.2,0.3,0.0,,10.4,,1014.7,,1
2000-07-13,22.8,19.4,25.6,6.9,0.0,,6.1,,1016.0,,1
2000-07-14,26.1,21.1,31.1,0.0,0.0,,9.7,,1011.9,,0
2000-07-15,25.0,18.9,30.6,17.5,0.0,,6.1,,1005.8,,1
2000-07-16,25.0,17.8,32.2,0.3,0.0,,5.0,,1008.6,,1
2000-07-17,23.9,17.2,30.6,0.3,0.0,,6.8,,1013.7,,1
2000-07-18,26.1,17.8,33.9,0.0,0.0,,6.5,,1015.7,,0
2000-07-19,28.3,21.7,35.0,0.0,0.0,,15.8,,1012.8,,0
2000-07-20,23.3,18.9,27.8,0.0,0.0,,10.1,,1012.2,,0
2000-07-21,23.3,18.3,27.8,6.4,0.0,,4.7,,1013.6,,1
2000-07-22,22.8,17.8,27.2,0.0,0.0,,6.5,,1015.5,,0
2000-07-23,23.9,20.0,27.8,12.7,0.0,52.0,11.5,,1017.4,,1
2000-07-24,22.2,18.9,25.0,56.4,0.0,,13.0,,1016.7,,1
2000-07-25,18.9,17.8,20.0,5.6,0.0,44.0,13.3,,1019.4,,1
2000-07-26,22.2,18.9,25.0,0.3,0.0,,6.8,,1019.5,,1
2000-07-27,25.6,19.4,31.1,0.0,0.0,,2.5,,1019.3,,0
2000-07-28,25.6,18.9,32.2,8.9,0.0,,5.8,,1016.9,,1
2000-07-29,25.6,18.9,31.7,28.2,0.0,,6.8,,1017.3,,1
2000-07-30,27.2,21.7,32.2,0.0,0.0,,9.0,,1017.8,,0
2000-07-31,26.7,21.7,31.1,10.2,0.0,,9.0,,1018.5,,1
2000-08-01,26.1,21.1,31.1,58.7,0.0,,9.7,,1019.7,,1
2000-08-02,26.1,21.1,30.6,2.5,0.0,,9.7,,1018.7,,1
2000-08-03,26.1,21.7,30.0,11.9,0.0,,11.5,,1018.4,,1
2000-08-04,25.6,21.1,30.0,5.6,0.0,219.0,11.5,,1017.6,,1
2000-08-05,25.0,20.0,29.4,8.1,0.0,,4.3,,1016.9,,1
2000-08-06,26.7,21.1,32.2,0.0,0.0,198.0,12.6,,1017.8,,0
2000-08-07,29.4,23.9,34.4,0.0,0.0,229.0,15.1,,1018.4,,0
2000-08-08,28.9,23.3,34.4,0.0,0.0,,7.6,,1017.7,,0
2000-08-09,29.4,23.9,35.0,0.0,0.0,,9.7,,1016.4,,0
2000-08-10,26.1,20.0,31.7,6.6,0.0,,7.6,,1015.0,,1
2000-08-11,27.2,21.7,32.2,0.0,0.0,,5.0,,1012.8,,0
2000-08-12,23.3,18.3,28.3,0.0,0.0,,9.0,,1012.5,,0
2000-08-13,20.6,16.1,25.0,0.5,0.0,,6.1,,1013.8,,1
2000-08-14,21.7,15.0,28.3,0.0,0.0,,4.7,,1017.0,,0
2000-08-15,23.3,16.1,30.6,0.0,0.0,,2.9,,1020.1,,0
2000-08-16,26.7,18.9,33.9,0.0,0.0,,10.1,,1017.1,,0
2000-08-17,25.0,18.3,31.1,0.0,0.0,,8.6,,1017.6,,0
2000-08-18,27.8,22.2,33.3,0.8,0.0,,10.4,,1014.9,,1
2000-08-19,22.8,17.2,27.8,0.0,0.0,,9.4,,1019.2,,0
2000-08-20,20.0,14.4,25.6,0.0,0.0,,5.4,,1022.5,,0
2000-08-21,19.3,12.8,26.1,0.0,0.0,,7.9,,1025.6,,0
2000-08-22,20.0,11.7,27.8,0.0,0.0,,4.7,,1026.8,,0
2000-08-23,22.2,12.8,31.1,0.0,0.0,,9.0,,1023.5,,0
2000-08-24,25.6,18.9,31.7,0.0,0.0,,7.6,,1018.2,,0
2000-08-25,24.4,19.4,28.9,0.8,0.0,,7.6,,1016.6,,1
2000-08-26,24.4,17.8,31.1,0.0,0.0,,8.6,,1016.5,,0
2000-08-27,24.4,19.4,29.4,36.3,0.0,194.0,11.2,,1014.8,,1
2000-08-28,22.8,18.3,26.7,9.4,0.0,,8.6,,1014.9,,1
2000-08-29,23.9,20.0,27.8,3.6,0.0,38.0,11.5,,1016.3,,1
2000-08-30,22.2,20.0,23.9,11.4,0.0,37.0,17.6,,1014.4,,1
2000-08-31,26.1,22.2,30.0,12.4,0.0,82.0,10.8,,1015.1,,1
2000-09-01,27.2,23.3,30.6,7.1,0.0,,8.6,,1016.5,,1
2000-09-02,25.6,22.2,28.9,8.6,0.0,,5.8,,1014.7,,1
2000-09-03,26.1,22.2,29.4,7.1,0.0,,7.6,,1012.3,,1
2000-09-04,23.9,21.7,26.1,23.9,0.0,,5.8,,1011.9,,1
2000-09-05,19.4,16.1,22.2,0.3,0.0,36.0,18.7,,1018.4,,1
2000-09-06,17.8,14.4,20.6,0.0,0.0,36.0,20.5,,1024.9,,0
2000-09-07,19.4,14.4,24.4,0.0,0.0,43.0,11.5,,1024.9,,0
2000-09-08,20.6,13.9,27.2,0.0,0.0,,2.5,,1021.7,,0
2000-09-09,23.3,17.2,28.9,0.0,0.0,,2.9,,1020.1,,0
2000-09-10,22.8,16.1,29.4,0.0,0.0,,2.9,,1019.9,,0
2000-09-11,23.3,17.8,28.9,0.0,0.0,,4.7,,1019.4,,0
2000-09-12,23.9,17.8,30.0,0.0,0.0,,3.6,,1016.7,,0
2000-09-13,24.4,17.8,31.1,0.0,0.0,,3.2,,1014.6,,0
2000-09-14,24.4,20.0,28.9,3.6,0.0,,7.6,,1013.2,,1
2000-09-15,20.6,14.4,26.7,0.0,0.0,,10.1,,1009.1,,0
2000-09-16,14.4,7.8,21.1,0.0,0.0,,5.4,,1015.6,,0
2000-09-17,14.4,7.2,21.7,0.0,0.0,,5.0,,1021.4,,0
2000-09-18,15.6,11.1,19.4,7.9,0.0,,10.8,,1018.8,,1
2000-09-19,23.3,17.8,28.9,1.0,0.0,226.0,13.0,,1013.8,,1
2000-09-20,23.9,17.2,30.0,0.0,0.0,228.0,16.6,,1016.4,,0
2000-09-21,24.2,22.2,28.9,0.0,0.0,,11.9,,1013.9,,0
2000-09-22,20.6,17.8,22.8,5.1,0.0,44.0,9.0,,,,1
2000-09-23,21.1,18.9,22.8,11.2,0.0,,8.3,,1014.5,,1
2000-09-24,24.4,18.3,30.6,0.0,0.0,,5.4,,1010.5,,0
2000-09-25,18.9,13.3,24.4,20.6,0.0,,9.0,,1008.7,,1
2000-09-26,15.0,11.1,18.3,0.8,0.0,,9.4,,1013.7,,1
2000-09-27,15.6,10.0,20.6,0.0,0.0,,4.7,,1022.0,,0
2000-09-28,15.6,7.8,23.3,0.0,0.0,,3.6,,1021.0,,0
2000-09-29,16.7,11.1,21.7,0.0,0.0,45.0,14.8,,1025.4,,0
2000-09-30,17.8,11.7,23.9,0.0,0.0,47.0,11.9,,1024.8,,0
2000-10-01,17.8,13.9,21.7,0.0,0.0,26.0,12.2,,1019.4,,0
2000-10-02,20.0,14.4,25.0,0.0,0.0,,6.1,,1016.3,,0
2000-10-03,21.7,12.8,30.0,0.0,0.0,,5.8,,1016.9,,0
2000-10-04,22.2,15.6,28.9,0.0,0.0,,9.0,,1017.4,,0
2000-10-05,22.8,15.0,30.0,0.0,0.0,,7.6,,1015.5,,0
2000-10-06,23.9,17.2,30.0,0.0,0.0,263.0,10.4,,1013.0,,0
2000-10-07,16.1,10.6,21.1,0.0,0.0,,10.8,,1020.2,,0
2000-10-08,7.2,3.3,10.6,0.0,0.0,,8.6,,1024.3,,0
2000-10-09,7.2,0.6,13.3,0.0,0.0,,8.6,,1024.9,,0
2000-10-10,8.9,-0.6,18.3,0.0,0.0,,8.6,,1024.5,,0
2000-10-11,11.1,0.0,21.7,0.0,0.0,,3.6,,1025.5,,0
2000-10-12,12.8,2.8,22.8,0.0,0.0,,4.3,,1027.4,,0
2000-10-13,15.0,3.3,26.7,0.0,0.0,,1.4,,1025.7,,0
2000-10-14,16.1,3.9,28.3,0.0,0.0,,1.8,,1022.6,,0
2000-10-15,16.1,4.4,27.2,0.0,0.0,,1.8,,1019.4,,0
2000-10-16,17.8,8.3,27.2,0.0,0.0,,2.5,,1018.7,,0
2000-10-17,16.7,10.6,22.8,0.0,0.0,,5.4,,1019.8,,0
2000-10-18,20.6,15.0,25.6,0.0,0.0,,4.7,,1017.6,,0
2000-10-19,16.1,7.8,23.9,0.0,0.0,,4.0,,1021.8,,0
2000-10-20,15.0,5.0,24.4,0.0,0.0,,2.5,,1025.1,,0
2000-10-21,16.1,6.7,25.0,0.0,0.0,,4.7,,1023.6,,0
2000-10-22,18.3,10.6,26.1,0.0,0.0,,9.4,,1027.0,,0
2000-10-23,15.0,8.3,21.1,0.0,0.0,,9.0,,1033.4,,0
2000-10-24,13.3,5.0,21.7,0.0,0.0,,1.8,,1029.9,,0
2000-10-25,17.8,11.7,23.9,0.0,0.0,,6.5,,1025.0,,0
2000-10-26,15.0,7.8,22.2,0.0,0.0,,7.6,,1023.6,,0
2000-10-27,18.3,11.1,25.0,0.0,0.0,,7.2,,1018.3,,0
2000-10-28,18.3,10.0,26.7,0.0,0.0,,8.3,,1017.4,,0
2000-10-29,11.1,2.8,19.4,0.0,0.0,,5.8,,1023.5,,0
2000-10-30,10.6,-0.6,21.1,0.0,0.0,,5.0,,1021.8,,0
2000-10-31,10.0,0.0,20.0,0.0,0.0,,4.0,,1021.8,,0
2000-11-01,11.1,0.6,21.1,0.0,0.0,,2.5,,1021.5,,0
2000-11-02,11.7,0.6,22.8,0.0,0.0,,1.4,,1021.5,,0
2000-11-03,14.4,3.3,25.0,0.0,0.0,,1.8,,1020.0,,0
2000-11-04,14.4,7.8,21.1,0.3,0.0,,2.9,,1015.6,,1
2000-11-05,10.6,2.2,18.9,1.3,0.0,,4.3,,1015.3,,1
2000-11-06,9.4,0.0,18.9,0.0,0.0,,5.0,,1019.1,,0
2000-11-07,15.0,11.7,17.8,1.5,0.0,,2.2,,1018.8,,1
2000-11-08,18.9,11.7,26.1,0.0,0.0,,2.9,,1017.0,,0
2000-11-09,22.2,17.8,26.1,0.8,0.0,175.0,14.8,,1010.1,,1
2000-11-10,15.0,8.3,21.7,0.0,0.0,,15.8,,1007.8,,0
2000-11-11,10.6,2.8,17.8,0.0,0.0,,7.9,,1016.2,,0
2000-11-12,8.9,0.6,16.7,0.0,0.0,,2.5,,1018.2,,0
2000-11-13,11.7,3.3,20.0,0.3,0.0,,9.0,,1017.0,,1
2000-11-14,10.6,5.0,15.6,15.5,0.0,,5.8,,1012.6,,1
2000-11-15,5.0,-1.7,11.7,0.0,0.0,,5.4,,1018.6,,0
2000-11-16,4.4,-2.2,11.1,0.3,0.0,,9.0,,1018.3,,1
2000-11-17,8.3,3.9,12.2,2.0,0.0,,8.6,,1013.3,,1
2000-11-18,2.2,-2.2,6.7,0.0,0.0,,5.8,,1023.2,,0
2000-11-19,2.2,0.0,4.4,14.7,0.0,,2.5,,1021.7,,1
2000-11-20,2.8,-0.6,5.6,0.0,51.0,,10.1,,1020.0,,0
2000-11-21,1.1,-3.3,5.0,0.0,0.0,,10.8,,1022.9,,0
2000-11-22,1.7,-4.4,7.2,0.0,0.0,,8.3,,1026.2,,0
2000-11-23,3.3,-4.4,10.6,0.0,0.0,,4.7,,1026.3,,0
2000-11-24,4.4,-1.1,10.0,0.0,0.0,,9.0,,1027.5,,0
2000-11-25,8.9,4.4,13.3,28.4,0.0,60.0,15.8,,1019.6,,1
2000-11-26,8.3,6.1,10.0,0.0,0.0,,12.2,,1011.3,0.0,0
2000-11-27,10.0,2.2,17.8,0.0,0.0,,9.7,,1013.0,0.0,0
